Local_Team,Away_Team,Year,Local_Goals,Away_Goals
South Korea,United States,2002,1,1
United States,Portugal,2002,3,2
South Korea,Poland,2002,2,0
Turkey,China,2002,3,0
Portugal,South Korea,2002,0,1
Ukraine,Tunisia,2006,1,0
Saudi Arabia,Spain,2006,0,1
Spain,Tunisia,2006,3,1
Saudi Arabia,Ukraine,2006,0,4
Tunisia,Saudi Arabia,2006,2,2
Spain,Ukraine,2006,4,0
Switzerland,South Korea,2006,2,0
France,South Korea,2006,1,1
Togo,Switzerland,2006,0,2
France,Switzerland,2006,0,0
South Korea,Togo,2006,2,1
Croatia,Australia,2006,2,2
Japan,Brazil,2006,1,4
Togo,France,2006,0,2
Germany,Sweden,2006,2,0
Brazil,Australia,2006,2,0
England,Ecuador,2006,1,0
Italy,France,2006,1,1
Portugal,Netherlands,2006,1,0
Italy,Australia,2006,1,0
Switzerland,Ukraine,2006,0,0
Brazil,Ghana,2006,3,0
Spain,France,2006,1,3
Germany,Argentina,2006,1,1
Italy,Ukraine,2006,3,0
England,Portugal,2006,0,0
Brazil,France,2006,0,1
Germany,Italy,2006,0,2
Portugal,France,2006,0,1
Germany,Portugal,2006,3,1
Argentina,Mexico,2006,2,1
Japan,Croatia,2006,0,0
Argentina,Ivory Coast,2006,2,1
Australia,Japan,2006,3,1
Germany,Costa Rica,2006,4,2
Poland,Ecuador,2006,0,2
Germany,Poland,2006,1,0
Ecuador,Costa Rica,2006,3,0
Ecuador,Germany,2006,0,3
Costa Rica,Poland,2006,1,2
England,Paraguay,2006,1,0
Trinidad and Tobago,Sweden,2006,0,0
England,Trinidad and Tobago,2006,2,0
Sweden,Paraguay,2006,1,0
Sweden,England,2006,2,2
Paraguay,Trinidad and Tobago,2006,2,0
Serbia and Montenegro,Netherlands,2006,0,1
Argentina,Serbia and Montenegro,2006,6,0
Brazil,Croatia,2006,1,0
Netherlands,Argentina,2006,0,0
Ghana,United States,2006,2,1
Czech Republic,Italy,2006,0,2
Italy,United States,2006,1,1
Czech Republic,Ghana,2006,0,2
Netherlands,Ivory Coast,2006,2,1
United States,Czech Republic,2006,0,3
Italy,Ghana,2006,2,0
Portugal,Mexico,2006,2,1
Portugal,Iran,2006,2,0
Mexico,Angola,2006,0,0
Angola,Portugal,2006,0,1
Mexico,Iran,2006,3,1
Ivory Coast,Serbia and Montenegro,2006,3,2
Iran,Angola,2006,1,1
Chile,Spain,2010,1,2
Spain,Honduras,2010,2,0
Chile,Switzerland,2010,1,0
Spain,Switzerland,2010,0,1
Honduras,Chile,2010,0,1
Paraguay,New Zealand,2010,0,0
Portugal,Brazil,2010,0,0
Portugal,North Korea,2010,7,0
Brazil,Ivory Coast,2010,3,1
Brazil,North Korea,2010,2,1
Ivory Coast,Portugal,2010,0,0
Switzerland,Honduras,2010,0,0
North Korea,Ivory Coast,2010,0,3
Uruguay,South Korea,2010,2,1
Netherlands,Brazil,2010,2,1
Germany,England,2010,4,1
Argentina,Mexico,2010,3,1
Netherlands,Slovakia,2010,2,1
Brazil,Chile,2010,3,0
Paraguay,Japan,2010,0,0
Spain,Portugal,2010,1,0
Uruguay,Ghana,2010,1,1
Argentina,Germany,2010,0,4
Paraguay,Spain,2010,0,1
Uruguay,Netherlands,2010,2,3
Germany,Spain,2010,0,1
Uruguay,Germany,2010,2,3
Netherlands,Spain,2010,0,1
Slovakia,Italy,2010,3,2
United States,Ghana,2010,1,2
Italy,New Zealand,2010,1,1
Slovakia,Paraguay,2010,0,2
South Africa,Mexico,2010,1,1
New Zealand,Slovakia,2010,1,1
Uruguay,France,2010,0,0
South Africa,Uruguay,2010,0,3
France,Mexico,2010,0,2
Mexico,Uruguay,2010,0,1
France,South Africa,2010,1,2
South Korea,Greece,2010,2,0
Argentina,Nigeria,2010,1,0
Greece,Nigeria,2010,2,1
Nigeria,South Korea,2010,2,2
Greece,Argentina,2010,0,2
England,United States,2010,1,1
Algeria,Slovenia,2010,0,1
Slovenia,United States,2010,2,2
England,Algeria,2010,0,0
Argentina,South Korea,2010,4,1
United States,Algeria,2010,1,0
Slovenia,England,2010,0,1
Cameroon,Netherlands,2010,1,2
Denmark,Japan,2010,1,3
Cameroon,Denmark,2010,1,2
Netherlands,Japan,2010,1,0
Japan,Cameroon,2010,1,0
Netherlands,Denmark,2010,2,0
Italy,Paraguay,2010,1,1
Ghana,Germany,2010,0,1
Ghana,Australia,2010,1,1
Germany,Serbia,2010,0,1
Germany,Australia,2010,4,0
Serbia,Ghana,2010,0,1
Australia,Serbia,2010,2,1
Germany,Argentina,2014,1,0
South Korea,Belgium,2014,0,1
South Korea,Algeria,2014,2,4
Belgium,Russia,2014,1,0
Russia,South Korea,2014,1,1
Belgium,Algeria,2014,2,1
Portugal,Ghana,2014,2,1
Germany,Ghana,2014,2,2
United States,Portugal,2014,2,2
Ghana,United States,2014,1,2
Germany,Portugal,2014,4,0
Bosnia and Herzegovina,Iran,2014,3,1
Nigeria,Argentina,2014,2,3
United States,Germany,2014,0,1
Algeria,Russia,2014,1,1
Nigeria,Bosnia and Herzegovina,2014,1,0
Colombia,Uruguay,2014,2,0
Netherlands,Mexico,2014,2,1
Costa Rica,Greece,2014,1,1
France,Nigeria,2014,2,0
Germany,Algeria,2014,2,1
Argentina,Switzerland,2014,1,0
Belgium,United States,2014,2,1
France,Germany,2014,0,1
Brazil,Colombia,2014,2,1
Argentina,Belgium,2014,1,0
Netherlands,Costa Rica,2014,0,0
Brazil,Germany,2014,1,7
Netherlands,Argentina,2014,0,0
Brazil,Netherlands,2014,0,3
Brazil,Chile,2014,1,1
Argentina,Iran,2014,1,0
Japan,Colombia,2014,1,4
Argentina,Bosnia and Herzegovina,2014,2,1
Iran,Nigeria,2014,0,0
Brazil,Croatia,2014,3,1
Mexico,Cameroon,2014,1,0
Brazil,Mexico,2014,0,0
Cameroon,Croatia,2014,0,4
Cameroon,Brazil,2014,1,4
Croatia,Mexico,2014,1,3
Spain,Netherlands,2014,1,5
Australia,Netherlands,2014,2,3
Spain,Chile,2014,0,2
